depth,temperature
0,6.45374
1,6.45429130434783
2,6.45345
2.5,6.45311111111111
3,6.4529875
4,6.45294
5,6.4527375
6,6.45267777777778
7,6.45293333333333
7.5,6.453025
8,6.4530125
9,6.45297777777778
10,6.45305
11,6.45218888888889
12,6.45225714285714
12.5,6.4524
13,6.45251818181818
14,6.4523625
15,6.45236666666667
16,6.4532875
17,6.45398888888889
18,6.45522
19,6.4554125
20,6.45705
21,6.45697142857143
22,6.45386
23,6.45411111111111
24,6.45392222222222
25,6.4544375
26,6.45552222222222
27,6.45318
28,6.4528375
29,6.452625
30,6.45271111111111
31,6.45224444444444
32,6.4521
33,6.45226666666667
34,6.45243333333333
35,6.45341111111111
36,6.4541125
37,6.45606666666667
38,6.45511111111111
39,6.45595
40,6.45577142857143
41,6.4537
42,6.45131428571429
43,6.45488571428572
44,6.45878571428571
45,6.45822857142857
46,6.45668333333333
47,6.45622857142857
48,6.4556875
49,6.4555
50,6.45525714285714
51,6.45505714285714
52,6.45521428571429
53,6.45504285714286
54,6.45515
55,6.45547142857143
56,6.4562
57,6.457825
58,6.45637142857143
59,6.45633333333333
60,6.45634285714286
61,6.45617142857143
62,6.45786666666667
63,6.458
64,6.45758888888889
65,6.45741666666667
66,6.45728333333333
67,6.457175
68,6.45717142857143
69,6.45676666666667
70,6.45678333333333
71,6.45682857142857
72,6.45705714285714
73,6.4568125
74,6.45625
75,6.45558571428571
76,6.45535714285714
77,6.45625714285714
78,6.4566
79,6.45701428571429
80,6.456075
81,6.45515
82,6.45531428571429
83,6.45514285714286
84,6.4554125
85,6.45451428571429
86,6.45534285714286
87,6.45536666666667
88,6.456575
89,6.45636666666667
90,6.45472857142857
91,6.453425
92,6.45351428571429
93,6.45212857142857
94,6.45165
95,6.4516625
96,6.4539
97,6.45351666666667
98,6.45316666666667
99,6.4532
100,6.4498
101,6.4485
102,6.447825
103,6.44725714285714
104,6.44698571428572
105,6.4468875
106,6.44701428571429
107,6.44718571428571
108,6.44705714285714
109,6.4469375
110,6.44714285714286
111,6.44746666666667
112,6.447025
113,6.44701428571429
114,6.44706666666667
115,6.44671111111111
116,6.4471
117,6.44733333333333
118,6.44751666666667
119,6.4473
120,6.44736666666667
121,6.44721428571429
122,6.44728333333333
123,6.4473
124,6.4472125
125,6.44705714285714
126,6.44702857142857
127,6.44618571428571
128,6.44602857142857
129,6.4462375
130,6.44475714285714
131,6.4442
132,6.44657647058824
133,6.44503913043478
134,6.44098823529412
135,6.44214545454545
136,6.44313
137,6.44365
138,6.44305
139,6.43051818181818
140,6.43066
141,6.43001111111111
142,6.42601818181818
143,6.41905
144,6.41938095238095
145,6.41448666666667
146,6.40265714285714
147,6.38723846153846
148,6.38254285714286
