depth,temperature
1,12.252
2,12.256
3,12.258
4,12.259
5,12.26
6,12.26
7,12.261
8,12.262
9,12.262
10,12.262
11,12.263
12,12.262
13,12.251
14,12.223
15,12.163
16,12.069
17,11.946
18,11.796
19,11.626
20,11.437
22,11.019
24,10.569
26,10.106
28,9.64
30,9.179
32,8.721
34,8.301
36,8.026
38,7.773
40,7.54
42,7.309
44,7.106
46,6.932
48,6.784
50,6.659
52,6.548
54,6.457
56,6.388
58,6.332
60,6.288
70,6.189
80,6.131
90,6.098
100,6.086
110,6.08
120,6.075
130,6.074
150,6.075
