0.5,0.515,0.531,0.548,0.564,0.582,0.6,0.618,0.637,0.657
0.677,0.698,0.719,0.741,0.764,0.788,0.812,0.837,0.863,0.889
0.917,0.945,0.974,1.004,1.035,1.066,1.099,1.133,1.168,1.204
1.241,1.279,1.318,1.359,1.401,1.444,1.488,1.534,1.581,1.63
1.68,1.732,1.785,1.84,1.897,1.955,2.015,2.077,2.141,2.207
2.275,2.345,2.417,2.491,2.568,2.647,2.728,2.812,2.899,2.988
3.08,3.175,3.272,3.373,3.477,3.584,3.694,3.807,2.679,2
2,2,2,2,2,2,2,2,2,2
